zip code;latitude;longitude
2430;39.788811;-8.952545
4425;41.236752;-8.557984
4730;41.680739;-8.443532
1070;38.731115;-9.164901
1990;38.775951;-9.095586
7000;38.541850;-8.023922
4900;41.736863;-8.838958
2790;38.725242;-9.243391
2380;39.460592;-8.691931
3650;40.872305;-7.763356
4440;41.199119;-8.480459
2395;39.531362;-8.676106
3520;40.538752;-7.842672
1495;38.706331;-9.243265
7580;38.403613;-8.538008
2660;38.850749;-9.144795
2610;38.736349;-9.215418
4710;41.589221;-8.382425
7350;38.910455;-7.228858
2860;38.652983;-8.996449
8000;36.992720;-7.899132
6225;40.183806;-7.732687
7665;37.500910;-8.483493
4300;41.151650;-8.577837
6370;40.651023;-7.500124
3430;40.449769;-7.988034
4535;40.985038;-8.569523
2580;39.098144;-9.039053
3220;40.104837;-8.327391
1000;38.738644;-9.139546
4660;41.076203;-7.939787
6200;40.295202;-7.462016
3660;40.816388;-8.094645
2050;39.083798;-8.882212
5150;41.031598;-7.106615
4435;41.184105;-8.550996
5335;41.755120;-7.096918
3550;40.671314;-7.655887
8800;37.225115;-7.732190
2685;38.791218;-9.113467
2630;38.974662;-9.094211
3060;40.354964;-8.637348
5225;41.439395;-6.438607
7540;37.971184;-8.598649
5460;41.675956;-7.734073
2530;39.246504;-9.269257
6350;40.703224;-6.910632
3100;39.875757;-8.591148
4700;41.572314;-8.451021
4925;41.759938;-8.750216
2130;38.929911;-8.764027
8670;37.297154;-8.800903
2475;39.417536;-8.966793
8700;37.062043;-7.810472
3460;40.525434;-8.053644
2510;39.363330;-9.189246
7500;38.068001;-8.773654
2900;38.521094;-8.929023
4805;41.487477;-8.360925
3030;40.200243;-8.371976
2730;38.735262;-9.280173
5300;41.770792;-6.735289
2740;38.724967;-9.303572
4540;40.928772;-8.251710
2870;38.694539;-8.969660
2700;38.760951;-9.232593
6320;40.369589;-7.026363
5385;41.645063;-7.168915
5085;41.194200;-7.563802
7490;38.918898;-8.088811
6060;39.900161;-7.113052
2000;39.335676;-8.650247
2625;38.872625;-9.078577
4465;41.205240;-8.623873
3320;40.084296;-7.916463
7050;38.648494;-8.296118
5000;41.311635;-7.738609
7340;39.116826;-7.243292
4630;41.161537;-8.132207
4575;41.101655;-8.303845
2735;38.768881;-9.297896
4960;42.049616;-8.213292
4580;41.225123;-8.362615
3040;40.151116;-8.431498
2840;38.615417;-9.081827
3620;40.964000;-7.637102
3440;40.400579;-8.115650
2655;38.958615;-9.401047
7460;39.076017;-7.626639
5400;41.766502;-7.419802
2040;39.328900;-8.901413
2410;39.715481;-8.782776
4910;41.847564;-8.790814
4615;41.331712;-8.143727
4770;41.425273;-8.466566
4860;41.540166;-7.953925
4795;41.353810;-8.380336
7005;38.537643;-7.808453
5130;41.118500;-7.438001
2810;38.656698;-9.158594
2845;38.613873;-9.128867
7400;39.251116;-7.994567
5350;41.353119;-6.940204
2775;38.692993;-9.343839
5425;41.641830;-7.552299
2615;38.912236;-9.046736
2725;38.805376;-9.333934
5230;41.570688;-6.530793
5200;41.330963;-6.661990
1500;38.741666;-9.190955
2855;38.618467;-9.155800
7900;38.088242;-8.188868
7700;37.474960;-8.084496
1800;38.768709;-9.112841
5370;41.469223;-7.193119
8150;37.195673;-7.878653
1400;38.706511;-9.212907
2805;38.671184;-9.169397
3405;40.418856;-7.864148
2690;38.842761;-9.088255
6090;40.170078;-7.138211
7150;38.816495;-7.469371
3700;40.916515;-8.461190
1675;38.777810;-9.204440
4800;41.491486;-8.267931
8200;37.133763;-8.232646
7440;39.212982;-7.724825
1200;38.709679;-9.153182
2400;39.756075;-8.855759
7920;38.244055;-8.041481
2865;38.571418;-9.087630
6185;40.020732;-7.794728
7170;38.648102;-7.601746
8300;37.220802;-8.433598
2150;39.382053;-8.511076
4755;41.494167;-8.613563
5320;41.852669;-7.035983
3280;40.019933;-8.195823
2605;38.793158;-9.270463
7885;38.229918;-7.302256
6000;39.822986;-7.511760
2965;38.623792;-8.716145
2640;38.968233;-9.345791
2795;38.712214;-9.240287
8970;37.419833;-7.651986
5030;41.228069;-7.802289
3300;40.218538;-8.056142
6355;40.572046;-6.916157
4595;41.286590;-8.403579
4825;41.288790;-8.464441
3870;40.757749;-8.673447
3850;40.700095;-8.495510
2985;38.736821;-8.639639
4765;41.393989;-8.397445
1685;38.806930;-9.215977
4560;41.183133;-8.280278
2230;39.576834;-8.169883
4720;41.651684;-8.345319
3240;39.934143;-8.438699
2090;39.241120;-8.570552
4760;41.390600;-8.558273
2005;39.260034;-8.758904
4890;41.400947;-8.030476
1950;38.747777;-9.112530
2445;39.682227;-8.997776
3020;40.279446;-8.406620
2405;39.687898;-8.895769
7960;38.168957;-7.716930
1300;38.709927;-9.188603
6040;39.438804;-7.894985
2970;38.490437;-9.124673
2565;39.098163;-9.222933
4980;41.806751;-8.309913
4585;41.156319;-8.415480
5340;41.543334;-6.906149
4520;40.927911;-8.551830
2745;38.754454;-9.264753
4940;41.910180;-8.572128
5445;41.569244;-7.431445
3630;40.991215;-7.395075
3510;40.645089;-7.994381
7750;37.646736;-7.706604
4920;41.917265;-8.706622
2760;38.706726;-9.273451
2620;38.802701;-9.180535
7240;38.318184;-7.274831
3770;40.515852;-8.551528
2780;38.694975;-9.313598
2635;38.766603;-9.329918
6005;39.965773;-7.466742
3080;40.236016;-8.834440
2490;39.649740;-8.591744
3230;40.010113;-8.369832
6300;40.519500;-7.245106
4785;41.320525;-8.551455
3475;40.573240;-8.227418
4715;41.552523;-8.360181
4870;41.508842;-7.796993
2120;39.014468;-8.747177
4970;41.902851;-8.364579
4750;41.576606;-8.621984
4640;41.148515;-8.003398
8005;37.077643;-7.925352
5450;41.510969;-7.623272
1900;38.733018;-9.121032
2650;38.778097;-9.227788
6160;39.926010;-7.888278
3670;40.674970;-8.139285
4480;41.371244;-8.686459
3305;40.245334;-7.917578
5050;41.180063;-7.753454
2665;38.951282;-9.238657
6360;40.622287;-7.384991
6270;40.395313;-7.711090
4050;41.152477;-8.620398
2645;38.737743;-9.396001
7160;38.768896;-7.353216
7425;39.111736;-8.188315
3505;40.718200;-7.822289
7860;38.128827;-7.429727
7780;37.704689;-8.028251
7565;37.949920;-8.379163
7630;37.632740;-8.597130
5155;41.080715;-7.254536
8500;37.191563;-8.583060
4490;41.389477;-8.757399
4455;41.236207;-8.699515
2330;39.464362;-8.478661
4350;41.168846;-8.579443
3465;40.550778;-8.139544
3200;40.131755;-8.228386
6120;39.605143;-7.974861
7470;38.961548;-7.739465
7220;38.301834;-7.696578
4505;40.986941;-8.512848
6030;39.680928;-7.663831
